ID,Title,Long,Lat,Colour
BaseMeghalayanSP2018,Meghalayan Stage,91.715,25.262222,#FDEDEC
BaseNorthgrippianSP2020,Northgrippian Stage,-42.32,75.1,#FDECE4
BaseHoloceneSP2008,Greenlandian Stage,-42.32,37.2889,#FEECDB
BaseChibanianSP2020,Chibanian Stage,140.146528,35.294333,#FFF2C7
BaseCalabrianSP1985,Calabrian Stage,17.1348,39.0385,#FFF2BA
BaseGelasianSP1996,Gelasian Stage,14.2035,37.1469,#FFEDB3
BasePiacenzianSP1997,Piacenzian Stage,13.4933,37.2889,#FFFFBF
BasePlioceneSP2000,Zanclean Stage,13.2806,37.3917,#FFFFB3
BaseMessinianSP2000,Messinian Stage,-6.8125,33.936,#FFFF73
BaseTortonianSP2003,Tortonian Stage,13.566172,43.587292,#FFFF66
BaseSerravallianSP2007,Serravallian Stage,14.3361,35.9139,#FFFF59
BaseNeogeneSP1996,Aquitanian Stage,8.8364,44.658,#FFFF33
BaseChattianSP2016,Chattian Stage,12.467731,43.646614,#FEE6AA
BaseOligoceneSP1992,Rupelian Stage,13.6011,43.5328,#FED99A
Priabonian,Priabonian Stage,11.918019,45.914167,#FDCDA1
BaseLutetianSP2011,Lutetian Stage,3.014336,43.929575,#FDB482
BaseEoceneSP2003,Ypresian Stage,32.5311,25.5,#FCA773
BaseThanetianSP2008,Thanetian Stage,-2.2594,43.3,#FDBF6F
BaseSelandianSP2008,Selandian Stage,-2.2594,43.3,#FEBF65
BaseCenozoicSP1991,Danian Stage,8.6486,36.153,#FDB462
BaseMaastrichtianSP2001,Maastrichtian Stage,-1.1133,43.679,#F2FA8C
Santonian,Santonian Stage,2.1968,42.866,#D9EF74
Coniacian,Coniacian Stage,10.3295,52.124,#CCE968
BaseTuronianSP2003,Turonian Stage,-104.7275,38.282,#BFE35D
BaseUpperCretaceousSP2002,Cenomanian Stage,5.5119,44.392,#B3DE53
BaseAlbianSP2016,Albian Stage,5.29725,44.507861,#CCEA97
BaseHauterivianSP2020,Hauterivian Stage,5.443722,44.469444,#A6D975
Kimmeridgian,Kimmeridgian Stage,-6.2455,57.661,#CCECF4
BaseBathonianSP2008,Bathonian Stage,6.3153,43.9606,#B3E2E3
BaseBajocianSP1996,Bajocian Stage,-8.9042,40.1992,#A6DDE0
BaseMiddleJurassicSP2000,Aalenian Stage,-1.8333,41.1708,#9AD9DD
BaseToarcianSP2014,Toarcian Stage,-9.3853,39.3708,#99CEE3
BasePliensbachianSP1997,Pliensbachian Stage,-0.4975,54.4069,#80C5DD
BaseSinemurianSP2000,Sinemurian Stage,-3.2364,51.1909,#67BCD8
BaseJurassicSP2010,Hettangian Stage,11.5306,47.4839,#4EB3D3
BaseUpperTriassicSP2008,Carnian Stage,11.9303,46.5269,#C99BCB
BaseLadinianSP2005,Ladinian Stage,10.471,45.8193,#C983BF
Anisian,Anisian Stage,28.8022,45.0742,#BC75B7
Olenekian,Olenekian Stage,78.0246,31.9654,#B051A5
BaseMesozoicSP2001,Induan Stage,119.7058,31.0798,#A4469F
BaseChanghsingianSP2005,Changhsingian Stage,119.7064,31.0819,#FCC0B2
BaseLopingianSP2004,Wuchiapingian Stage,109.3211,23.6953,#FCB4A2
BaseCapitanianSP2001,Capitanian Stage,-104.7892,31.9091,#FB9A85
BaseWordianSP2001,Wordian Stage,-104.8328,31.8658,#FB8D76
BaseGuadalupianSP2001,Roadian Stage,-104.8768,31.8767,#FB8069
BasePermianSP1996,Asselian Stage,57.8914,50.2458,#E36350
BasePennsylvanianSP1996,Bashkirian Stage,-114.7778,36.7333,#99C2B5
BaseMiddleMississippianSP2008,Visean Stage,109.45,24.4333,#A6B96C
BaseCarboniferousSP1990,Tournaisian Stage,3.3573,43.5555,#8CB06C
BaseFamennianSP1993,Famennian Stage,3.0403,43.4613,#F2EDB3
BaseUpperDevonianSP1986,Frasnian Stage,3.0868,43.5032,#F2EDAD
BaseGivetianSP1994,Givetian Stage,-4.3541,31.2374,#F1E185
BaseMiddleDevonianSP1985,Eifelian Stage,6.4716,50.1496,#F1D576
BaseEmsianSP1995,Emsian Stage,67.3056,39.2,#E5D075
BasePragianSP1989,Pragian Stage,14.3726,50.0147,#E5C468
BaseDevonianSP1972,Lochkovian Stage,14.0611,49.9008,#E5B75A
BasePridoliSP1984,Přídolí Series,14.3249,50.0277,#E6F5E1
BaseLudfordianSP1980,Ludfordian Stage,-2.7772,52.3592,#D9F0DF
BaseLudlowSP1980,Gorstian Stage,-2.7772,52.3592,#CCECDD
BaseHomerianSP1980,Homerian Stage,-2.5647,52.6156,#CCEBD1
BaseWenlockSP1980,Sheinwoodian Stage,-2.6389,52.5811,#BFE6C3
BaseTelychianSP1984,Telychian Stage,-3.79,51.97,#BFE6CF
BaseAeronianSP1984,Aeronian Stage,-3.7,52.03,#B3E1C2
BaseSilurianSP1984,Rhuddanian Stage,-3.27,55.44,#A6DCB5
BaseHirnantianSP2006,Hirnantian Stage,111.4197,30.984,#A6DBAB
BaseKatianSP2006,Katian Stage,-96.0746,34.4305,#99D69F
BaseUpperOrdovicianSP2002,Sandbian Stage,13.3255,55.7137,#8CD094
BaseDarriwilianSP1987,Darriwilian Stage,118.4897,28.853,#74C69C
BaseMiddleOrdovicianSP2007,Dapingian Stage,110.374,30.86,#66C092
BaseOrdovicianStage2SP2004,Floian Stage,12.5024,58.3589,#41B087
BaseOrdovicianSP2000,Tremadocian Stage,-57.9653,49.6829,#33A97E
BaseJiangshanianSP2011,Jiangshanian Stage,118.6149,28.8159,#D9F0BB
BaseFurongianSP2003,Paibian Stage,109.5257,28.389,#B3E095
BaseGuzhangianSP2008,Guzhangian Stage,109.9647,28.72,#CCDFAA
BaseDrumianSP2006,Drumian Stage,-112.9915,39.511,#BFD99D
BasePhanerozoicSP1992,Fortunian Stage,-55.831,47.0762,#99B575
BaseEdiacaranSP1990,Ediacaran Period,138.6334,-31.3314,#FED96A
BaseLanghianSP2023,Langhian Stage,13.56229,43.59193,#FFFF4D
